record_id,recorded_at,job_id,execution_id,user_id,workflow_id,pipeline_id,vm_name,stage_id,stage_number,tool_id,tool_name,input_size_bytes,input_size_mib,input_file_count,input_types,input_filenames,output_count,output_size_bytes,runtime_seconds,resource_profile,threads,cpu_limit_millis,memory_limit_mib,storage_limit_mib,cpu_core_seconds,allocated_cpu_core_seconds,measured_cpu_core_seconds,estimated_flops,measured_flops,flops_is_estimated,flops_per_core_second,flops_source,flops_accuracy_note,data_size_gb,read_count_millions,sample_count,selected_tools,input_formats,pod_cpu_cores,pod_memory_gb,pod_ephemeral_storage_gb,requested_threads,cloud_provider,instance_family
40:40:node-89fb4a0a-2ae0-4a07-9e9b-99de38b79f7f,2026-04-21T18:40:01Z,40,40,5,40,13,vm1,node-89fb4a0a-2ae0-4a07-9e9b-99de38b79f7f,1,FASTQC,FastQC,277304169,264.457864,1,fastq,agabey.fastq.gz,2,915756,178.911742,adaptive,1,500,2048,1289,89.455871,89.455871,,3721364233600.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.258259633,,1,FASTQC,fastq,0.5,2.0,1.258789,1,local-kubernetes,vm1
41:41:node-89fb4a0a-2ae0-4a07-9e9b-99de38b79f7f,2026-04-21T18:49:53Z,41,41,5,41,13,vm1,node-89fb4a0a-2ae0-4a07-9e9b-99de38b79f7f,1,FASTQC,FastQC,367700335,350.666366,1,fastq,SRR24940081.fastq.gz,2,1087614,87.916834,adaptive,1,500,2048,1375,43.958417,43.958417,,1828670147200.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.342447623,,1,FASTQC,fastq,0.5,2.0,1.342773,1,local-kubernetes,vm1
42:42:node-89fb4a0a-2ae0-4a07-9e9b-99de38b79f7f,2026-04-21T18:56:17Z,42,42,5,42,13,vm1,node-89fb4a0a-2ae0-4a07-9e9b-99de38b79f7f,1,FASTQC,FastQC,367700335,350.666366,1,fastq,SRR24940081.fastq.gz,2,1087614,86.901533,adaptive,1,500,2048,1375,43.450767,43.450767,,1807551886400.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.342447623,,1,FASTQC,fastq,0.5,2.0,1.342773,1,local-kubernetes,vm1
43:43:step-1,2026-04-21T19:05:26Z,43,43,7,43,,vm1,step-1,1,FASTQC,FastQC,31450,0.029993,1,fastq,reads_R1.fastq,2,843188,11.413785,adaptive,1,500,2048,1280,5.706893,5.706893,,237406728000.00003,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",2.929e-05,,1,FASTQC,fastq,0.5,2.0,1.25,1,local-kubernetes,vm1
44:44:step-1,2026-04-21T19:05:48Z,44,44,7,44,,vm1,step-1,1,QUAST,QUAST,4573,0.004361,2,fasta,reference_genome.fasta;assembly_contigs.fasta,11,1211460,6.226182,adaptive,1,500,2048,1536,3.113091,3.113091,,129504585600.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",4.259e-06,,2,QUAST,fasta,0.5,2.0,1.5,1,local-kubernetes,vm1
45:45:step-1,2026-04-21T19:06:01Z,45,45,7,45,,vm1,step-1,1,LIFTOFF,Liftoff,5114,0.004877,3,annotation;fasta;gff3,reference_annotation.gff3;reference_genome.fasta;target_assembly.fasta,3,2944,11.328981,adaptive,1,500,2304,2048,5.664491,5.664491,,235642804800.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",4.763e-06,,3,LIFTOFF,"annotation,fasta,gff3",0.5,2.25,2.0,1,local-kubernetes,vm1
46:46:step-1,2026-04-21T19:06:27Z,46,46,7,46,,vm1,step-1,1,SPADES,SPAdes,62900,0.059986,2,fastq,reads_R2.fastq;reads_R1.fastq,30,74072,11.910599,low-resource,1,500,2560,4096,5.955299,5.955299,,247740459200.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",5.858e-05,,2,SPADES,fastq,0.5,2.5,4.0,1,local-kubernetes,vm1
50:50:step-1,2026-04-21T19:07:52Z,50,50,7,50,,vm1,step-1,1,VERKKO,Verkko,24206,0.023085,1,fastq,hifi_reads.fastq,2,4202,11.318242,adaptive,1,750,2648,6144,8.488682,8.488682,,353129150400.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",2.2544e-05,,1,VERKKO,fastq,0.75,2.585938,6.0,1,local-kubernetes,vm1
51:51:step-1,2026-04-21T19:08:30Z,51,51,7,51,,vm1,step-1,1,BUSCO,BUSCO,2137,0.002038,1,fasta,assembly_contigs.fasta,18,128905658,33.476501,adaptive,1,500,2304,2560,16.73825,16.73825,,696311220800.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",1.99e-06,,1,BUSCO,fasta,0.5,2.25,2.5,1,local-kubernetes,vm1
52:52:step-1,2026-04-21T19:11:39Z,52,52,7,52,,vm1,step-1,1,GENOMESCOPE2,GenomeScope2,322890,0.307932,1,fastq,reads_R1.fastq,9,703923,17.836592,adaptive,1,500,2048,2304,8.918296,8.918296,,371001113600.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.000300715,,1,GENOMESCOPE2,fastq,0.5,2.0,2.25,1,local-kubernetes,vm1
53:53:step-1,2026-04-21T19:12:04Z,53,53,7,53,,vm1,step-1,1,METASPADES,metaSPAdes,645780,0.615864,2,fastq,reads_R2.fastq;reads_R1.fastq,37,262857,18.497377,low-resource,1,500,2560,4096,9.248689,9.248689,,384745441600.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.000601429,,2,METASPADES,fastq,0.5,2.5,4.0,1,local-kubernetes,vm1
54:54:step-1,2026-04-21T19:12:22Z,54,54,7,54,,vm1,step-1,1,HIFIASM,Hifiasm,24136,0.023018,1,fastq,hifi_reads.fastq,17,15419,12.135181,adaptive,1,750,2648,4096,9.101386,9.101386,,378617647199.99994,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",2.2478e-05,,1,HIFIASM,fastq,0.75,2.585938,4.0,1,local-kubernetes,vm1
55:55:step-1,2026-04-21T19:12:47Z,55,55,7,55,,vm1,step-1,1,FASTQC,FastQC,322890,0.307932,1,fastq,reads_R1.fastq,2,803772,11.605941,adaptive,1,500,2048,1280,5.80297,5.80297,,241403572800.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.000300715,,1,FASTQC,fastq,0.5,2.0,1.25,1,local-kubernetes,vm1
56:56:step-1,2026-04-21T19:13:11Z,56,56,7,56,,vm1,step-1,1,SPADES,SPAdes,645780,0.615864,2,fastq,reads_R2.fastq;reads_R1.fastq,35,225192,18.229337,low-resource,1,500,2560,4096,9.114669,9.114669,,379170209600.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.000601429,,2,SPADES,fastq,0.5,2.5,4.0,1,local-kubernetes,vm1
57:57:step-1,2026-04-21T19:13:29Z,57,57,7,57,,vm1,step-1,1,QUAST,QUAST,22798,0.021742,2,fasta,reference_genome.fasta;assembly_contigs.fasta,11,1212055,11.948369,adaptive,1,500,2048,1536,5.974184,5.974184,,248526075200.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",2.1232e-05,,2,QUAST,fasta,0.5,2.0,1.5,1,local-kubernetes,vm1
58:58:step-1,2026-04-21T19:13:45Z,58,58,7,58,,vm1,step-1,1,GENOMESCOPE2,GenomeScope2,322890,0.307932,1,fastq,reads_R1.fastq,9,703923,11.611543,adaptive,1,500,2048,2304,5.805771,5.805771,,241520094400.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.000300715,,1,GENOMESCOPE2,fastq,0.5,2.0,2.25,1,local-kubernetes,vm1
59:59:step-1,2026-04-21T19:14:02Z,59,59,7,59,,vm1,step-1,1,METASPADES,metaSPAdes,645780,0.615864,2,fastq,reads_R2.fastq;reads_R1.fastq,37,262857,11.975487,low-resource,1,500,2560,4096,5.987743,5.987743,,249090129600.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",0.000601429,,2,METASPADES,fastq,0.5,2.5,4.0,1,local-kubernetes,vm1
60:60:step-1,2026-04-21T19:14:12Z,60,60,7,60,,vm1,step-1,1,HIFIASM,Hifiasm,24136,0.023018,1,fastq,hifi_reads.fastq,17,15419,6.251321,adaptive,1,750,2648,4096,4.688491,4.688491,,195041215200.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",2.2478e-05,,1,HIFIASM,fastq,0.75,2.585938,4.0,1,local-kubernetes,vm1
61:61:step-1,2026-04-21T19:14:42Z,61,61,7,61,,vm1,step-1,1,VERKKO,Verkko,24136,0.023018,1,fastq,hifi_reads.fastq,2,4202,27.265808,adaptive,1,750,2648,6144,20.449356,20.449356,,850693209600.0001,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",2.2478e-05,,1,VERKKO,fastq,0.75,2.585938,6.0,1,local-kubernetes,vm1
62:62:step-1,2026-04-21T19:14:58Z,62,62,7,62,,vm1,step-1,1,LIFTOFF,Liftoff,24554,0.023417,3,annotation;fasta;gff3,reference_annotation.gff3;reference_genome.fasta;target_assembly.fasta,3,2951,11.378292,adaptive,1,500,2304,2048,5.689146,5.689146,,236668473600.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",2.2868e-05,,3,LIFTOFF,"annotation,fasta,gff3",0.5,2.25,2.0,1,local-kubernetes,vm1
63:63:step-1,2026-04-21T19:15:37Z,63,63,7,63,,vm1,step-1,1,BUSCO,BUSCO,10642,0.010149,1,fasta,assembly_contigs.fasta,18,128928941,33.837261,adaptive,1,500,2304,2560,16.91863,16.91863,,703815028800.0,,true,41600000000.0,machine_specs_machine+config_and_cpu_limit_wall_time,"Estimated from measured container CPU seconds and machine-derived FP64 peak per-core throughput (Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz, 2.60 GHz base, AVX2, FMA, SSE). It is not hardware-counter-measured FLOPs. Allocated CPU limit and wall time were used because measured container CPU seconds were unavailable.",9.911e-06,,1,BUSCO,fasta,0.5,2.25,2.5,1,local-kubernetes,vm1
